epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7824,0.89457,3.81888,1.23874,0.35888,0.32533,0.26586,0.19945,1.09114,2.79922,1.4822,9.85507e-05,9.85507e-05,0.0803884
2,36.6919,0.82095,2.27152,1.17474,0.45346,0.32705,0.39002,0.30978,0.74317,2.2468,1.1893,0.000198502,0.000198502,0.0604884
3,52.9283,0.77401,2.00244,1.14106,0.64943,0.5152,0.54335,0.43838,0.73875,1.74646,1.20372,0.000298259,0.000298259,0.0405881
4,69.8714,0.76066,1.77563,1.13555,0.73152,0.51095,0.59697,0.4742,0.79825,1.59804,1.24665,0.000397675,0.000397675,0.0206875
5,86.4287,0.84322,1.80727,1.1784,0.50605,0.58023,0.56334,0.43624,0.82246,1.72251,1.25432,0.000496605,0.000496605,0.00078646
6,102.346,0.76427,1.71151,1.13351,0.59873,0.62393,0.61615,0.47676,0.80372,1.54747,1.22671,0.000496953,0.000496953,0.000496953
7,118.384,0.7864,1.69744,1.15017,0.60879,0.61527,0.65877,0.52732,0.74936,1.48745,1.16219,0.000495616,0.000495616,0.000495616
8,134.74,0.79609,1.59732,1.1445,0.63138,0.6794,0.69719,0.5379,0.78348,1.30688,1.21546,0.000494039,0.000494039,0.000494039
9,150.758,0.82104,1.56902,1.13295,0.71715,0.68976,0.74106,0.58119,0.75794,1.22882,1.1811,0.000492224,0.000492224,0.000492224
10,167.029,0.82629,1.58346,1.16799,0.68165,0.62531,0.687,0.52935,0.78785,1.31476,1.16287,0.000490173,0.000490173,0.000490173
11,183.046,0.75949,1.43627,1.10733,0.59744,0.64624,0.67923,0.51112,0.82342,1.48274,1.19979,0.000487886,0.000487886,0.000487886
12,199.075,0.78981,1.49867,1.12722,0.77318,0.58208,0.70336,0.58252,0.7338,1.28285,1.13014,0.000485368,0.000485368,0.000485368
13,215.236,0.75857,1.38383,1.12885,0.77729,0.6727,0.74611,0.59425,0.75132,1.21862,1.16189,0.00048262,0.00048262,0.00048262
14,231.224,0.7497,1.33927,1.09619,0.73397,0.64905,0.72292,0.58664,0.73678,1.22408,1.16146,0.000479644,0.000479644,0.000479644
15,247.301,0.72247,1.32022,1.08829,0.75338,0.63941,0.71078,0.56411,0.72739,1.27214,1.14307,0.000476445,0.000476445,0.000476445
16,263.442,0.69926,1.26623,1.07333,0.65919,0.59928,0.67389,0.55238,0.69754,1.25593,1.14804,0.000473024,0.000473024,0.000473024
17,279.57,0.68285,1.21095,1.07354,0.74859,0.70268,0.73536,0.59852,0.70237,1.26418,1.16034,0.000469386,0.000469386,0.000469386
18,295.5,0.70615,1.16873,1.07549,0.75243,0.69297,0.74805,0.5953,0.73775,1.11203,1.16585,0.000465534,0.000465534,0.000465534
19,311.779,0.70625,1.18513,1.08399,0.70677,0.70939,0.73648,0.61429,0.66698,1.1321,1.10866,0.000461471,0.000461471,0.000461471
20,327.829,0.67417,1.14865,1.06688,0.79034,0.69276,0.77266,0.62517,0.70368,1.02977,1.13812,0.000457202,0.000457202,0.000457202
21,344.044,0.68816,1.13378,1.06632,0.80071,0.74259,0.76444,0.62323,0.68937,1.03374,1.12482,0.000452732,0.000452732,0.000452732
22,360.251,0.64613,1.11076,1.03871,0.74863,0.68489,0.75368,0.6113,0.68192,1.12345,1.13199,0.000448063,0.000448063,0.000448063
23,376.245,0.67968,1.11077,1.06413,0.79576,0.71673,0.79344,0.6444,0.67142,0.97409,1.13726,0.000443202,0.000443202,0.000443202
24,392.624,0.65373,1.16619,1.05917,0.72877,0.66992,0.75369,0.6277,0.66201,1.07972,1.14455,0.000438152,0.000438152,0.000438152
25,408.375,0.65669,1.09247,1.04599,0.8003,0.73867,0.80165,0.6674,0.62765,0.93802,1.08699,0.00043292,0.00043292,0.00043292
26,424.549,0.63043,1.04415,1.04374,0.81705,0.73527,0.80289,0.66774,0.69514,0.93147,1.14805,0.000427509,0.000427509,0.000427509
27,440.758,0.65367,1.093,1.04857,0.8506,0.64202,0.76862,0.62405,0.70374,1.00261,1.14612,0.000421925,0.000421925,0.000421925
28,456.624,0.59182,0.9958,1.01607,0.81284,0.69579,0.74013,0.63804,0.62808,1.02208,1.10929,0.000416175,0.000416175,0.000416175
