epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8324,0.85052,1.95647,3.62919,1.1912,0,0.40616,0.18684,0.16982,0.13027,0.24787,0.12757,0.07727,0.03963,1.20921,8.4989,3.20335,1.58494,0,9.85507e-05,9.85507e-05,0.0803884
2,45.6896,0.80753,1.78876,2.14008,1.14697,0,0.4886,0.46572,0.44064,0.32453,0.22637,0.20452,0.16875,0.10169,0.93431,11.9217,1.9736,1.32407,0,0.000198502,0.000198502,0.0604884
3,66.4537,0.79181,1.59434,1.87975,1.12941,0,0.57751,0.4716,0.51161,0.40752,0.57751,0.4716,0.50396,0.40223,0.8235,1.91999,1.90227,1.27149,0,0.000298259,0.000298259,0.0405881
4,86.8134,0.77375,1.55131,1.76917,1.11791,0,0.57094,0.53433,0.5742,0.43978,0.56016,0.5221,0.56496,0.44973,0.7952,1.70488,2.07755,1.20819,0,0.000397675,0.000397675,0.0206875
5,107.624,0.85916,1.70175,1.82197,1.17615,0,0.46569,0.51329,0.52384,0.39667,0.45372,0.49997,0.50081,0.35289,0.87143,2.10514,2.06476,1.25524,0,0.000496605,0.000496605,0.00078646
6,128.434,0.79762,1.51099,1.6911,1.13183,0,0.67862,0.63213,0.66541,0.52955,0.63965,0.56817,0.59711,0.47491,0.76018,1.90962,1.59538,1.1678,0,0.000496953,0.000496953,0.000496953
7,149.419,0.80365,1.54625,1.64069,1.13388,0,0.5738,0.61053,0.63268,0.51837,0.5579,0.5921,0.60723,0.4989,0.74508,1.54014,1.55638,1.15346,0,0.000495616,0.000495616,0.000495616
8,170.131,0.78731,1.44448,1.57165,1.12145,0,0.78475,0.57672,0.69727,0.54275,0.69384,0.56336,0.66313,0.54102,0.78409,1.45125,1.36034,1.16776,0,0.000494039,0.000494039,0.000494039
9,190.941,0.80135,1.49797,1.52324,1.11255,0,0.7695,0.56263,0.66628,0.53311,0.6098,0.63813,0.65239,0.52887,0.73279,1.46531,1.35747,1.14698,0,0.000492224,0.000492224,0.000492224
10,211.647,0.81194,1.54791,1.53843,1.1349,0,0.64004,0.61736,0.67073,0.54521,0.67615,0.63647,0.67392,0.55375,0.74658,1.50016,1.39209,1.17233,0,0.000490173,0.000490173,0.000490173
11,231.908,0.73907,1.33892,1.39961,1.08954,0,0.72573,0.58208,0.664,0.54613,0.7377,0.59006,0.66299,0.55341,0.77973,1.33099,1.31095,1.17377,0,0.000487886,0.000487886,0.000487886
12,252.683,0.77363,1.51647,1.47033,1.09554,0,0.62875,0.58763,0.63295,0.49997,0.63491,0.57259,0.62615,0.53493,0.81646,1.29603,1.5302,1.22092,0,0.000485368,0.000485368,0.000485368
13,273.062,0.73465,1.41865,1.41435,1.09595,0,0.62107,0.62759,0.66717,0.56544,0.68378,0.59488,0.65112,0.57234,0.67406,1.38062,1.45518,1.12498,0,0.00048262,0.00048262,0.00048262
14,293.429,0.70629,1.34539,1.33192,1.06799,0,0.82054,0.5988,0.70033,0.57937,0.82054,0.5988,0.67894,0.59735,0.69626,1.25785,1.2291,1.14034,0,0.000479644,0.000479644,0.000479644
15,313.662,0.70926,1.27749,1.30462,1.07468,0,0.68625,0.69028,0.71789,0.60331,0.6728,0.66967,0.69528,0.59544,0.64505,1.24163,1.1958,1.08776,0,0.000476445,0.000476445,0.000476445
